dev,name,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,BERT_pytorch,1,1,540,540,1.0000,0.9978
cuda,Background_Matting,1,1,184,184,1.0000,0.9989
cuda,LearningToPaint,1,1,72,72,1.0000,0.9972
cuda,alexnet,1,1,23,23,1.0000,0.9934
cuda,attention_is_all_you_need_pytorch,1,1,552,552,1.0000,0.9993
cuda,dcgan,1,1,14,14,1.0000,0.9915
cuda,demucs,1,1,70,70,1.0000,0.9987
cuda,densenet121,1,1,432,432,1.0000,0.9997
cuda,dlrm,1,1,44,44,1.0000,0.9934
cuda,drq,1,1,26,26,1.0000,0.9942
cuda,fastNLP_Bert,6,6,450,511,0.8806,0.9182
cuda,hf_Albert,4,15,443,454,0.9758,0.9549
cuda,hf_Bart,14,14,675,695,0.9712,0.9666
cuda,hf_Bert,3,3,366,376,0.9734,0.9535
cuda,hf_BigBird,53,75,4496,4552,0.9877,0.9030
cuda,hf_DistilBert,2,2,194,199,0.9749,0.8977
cuda,hf_GPT2,12,12,592,608,0.9737,0.9322
cuda,hf_Reformer,6,6,578,582,0.9931,0.9935
cuda,hf_T5,33,33,898,983,0.9135,0.3919
cuda,maml,23,23,749,1174,0.6380,0.6939
cuda,maml_omniglot,1,1,15,15,1.0000,0.9913
cuda,mnasnet1_0,1,1,153,153,1.0000,0.9989
cuda,mobilenet_v2,1,1,154,154,1.0000,0.9989
cuda,mobilenet_v3_large,1,1,188,188,1.0000,0.9991
cuda,nvidia_deeprecommender,1,1,14,14,1.0000,0.9878
cuda,opacus_cifar10,1,1,70,70,1.0000,0.9972
cuda,pyhpc_equation_of_state,1,1,373,373,1.0000,0.9975
cuda,pyhpc_isoneutral_mixing,1,1,1546,1546,1.0000,0.9992
cuda,pyhpc_turbulent_kinetic_energy,1,1,1569,1569,1.0000,0.9989
cuda,pytorch_CycleGAN_and_pix2pix,1,1,92,92,1.0000,0.9984
cuda,pytorch_stargan,1,1,57,57,1.0000,0.9987
cuda,pytorch_struct,1,1,42,42,1.0000,0.9921
cuda,pytorch_unet,1,1,72,72,1.0000,0.9979
cuda,resnet18,1,1,70,70,1.0000,0.9981
cuda,resnet50,1,1,176,176,1.0000,0.9990
cuda,resnext50_32x4d,1,1,176,176,1.0000,0.9987
cuda,shufflenet_v2_x1_0,1,1,246,246,1.0000,0.9992
cuda,soft_actor_critic,1,1,13,13,1.0000,0.9818
cuda,speech_transformer,4,4,962,1054,0.9127,0.7702
cuda,squeezenet1_1,1,1,67,67,1.0000,0.9978
cuda,tacotron2,88,3449,26847,31376,0.8557,0.9139
cuda,timm_efficientnet,1,1,240,240,1.0000,0.9992
cuda,timm_regnet,1,1,447,447,1.0000,0.9995
cuda,timm_resnest,1,1,128,129,0.9922,0.9986
cuda,timm_vision_transformer,1,1,289,289,1.0000,0.9989
cuda,timm_vovnet,1,1,130,130,1.0000,0.9987
cuda,tts_angular,4,4,22,29,0.7586,0.8688
cuda,vgg16,1,1,41,41,1.0000,0.9957
cuda,vision_maskrcnn,246,272,3518,10879,0.3234,0.6710
cuda,yolov3,5,3,320,321,0.9969,0.9981
